GAME_ID: 225
STARTED_AT:  2020/08/06 14:31:14 

p1: hasti
p1_hero: warlock
p1_deck: pppp

p2: hasti
p2_hero: warlock
p2_deck: pppp

p1:end_turn 2020/08/06 14:35:04 
p2:end_turn 2020/08/06 14:35:05 
p1:end_turn 2020/08/06 14:35:06 
p2:end_turn 2020/08/06 14:35:07 
p1:end_turn 2020/08/06 14:35:08 
p2:end_turn 2020/08/06 14:35:09 
p1:end_turn 2020/08/06 14:35:10 
p2:end_turn 2020/08/06 14:35:11 
p1:end_turn 2020/08/06 14:35:12 
p2:end_turn 2020/08/06 14:35:13 
p1:end_turn 2020/08/06 14:35:14 
p2:end_turn 2020/08/06 14:35:15 
p1:end_turn 2020/08/06 14:35:16 
p2:end_turn 2020/08/06 14:35:17 
p1:end_turn 2020/08/06 14:35:18 
p2:end_turn 2020/08/06 14:35:19 
p1:end_turn 2020/08/06 14:35:20 
p2:end_turn 2020/08/06 14:35:21 
p1:end_turn 2020/08/06 14:35:22 
p2:end_turn 2020/08/06 14:35:23 
p1:end_turn 2020/08/06 14:35:24 
p2:end_turn 2020/08/06 14:35:25 
p1:end_turn 2020/08/06 14:35:26 
p2:end_turn 2020/08/06 14:35:27 
p1:end_turn 2020/08/06 14:35:28 
p2:end_turn 2020/08/06 14:35:29 
p1:end_turn 2020/08/06 14:35:30 
p2:end_turn 2020/08/06 14:35:31 
p1:end_turn 2020/08/06 14:35:32 
p2:end_turn 2020/08/06 14:35:33 
p1:end_turn 2020/08/06 14:35:34 
p2:end_turn 2020/08/06 14:35:35 
p1:end_turn 2020/08/06 14:35:36 
p2:end_turn 2020/08/06 14:35:37 
p1:end_turn 2020/08/06 14:35:38 
p2:end_turn 2020/08/06 14:35:39 
p1:end_turn 2020/08/06 14:35:40 
p2:end_turn 2020/08/06 14:35:41 
p1:end_turn 2020/08/06 14:35:42 
p2:end_turn 2020/08/06 14:35:43 
p1:end_turn 2020/08/06 14:35:44 
p2:end_turn 2020/08/06 14:35:45 
p1:end_turn 2020/08/06 14:35:46 
p2:end_turn 2020/08/06 14:35:47 
p1:end_turn 2020/08/06 14:35:48 
p2:end_turn 2020/08/06 14:35:49 
p1:end_turn 2020/08/06 14:35:50 
p2:end_turn 2020/08/06 14:35:51 
p1:end_turn 2020/08/06 14:35:52 
